b	E(b)	log(g(E))	H(E)

-----------------------------------------

0	-128	0.693147	99499
2	-120	4.84487	99018
3	-116	5.55023	100052
4	-112	8.36242	98004
5	-108	9.81063	98690
6	-104	11.9116	99052
7	-100	13.4972	98715
8	-96	15.3083	98661
9	-92	17.0011	99065
10	-88	18.6426	98867
11	-84	20.2787	98963
12	-80	21.9469	98549
13	-76	23.5549	98690
14	-72	25.169	98887
15	-68	26.7491	99911
16	-64	28.302	100315
17	-60	29.7859	100188
18	-56	31.2696	100838
19	-52	32.6846	101081
20	-48	34.0386	101107
21	-44	35.3224	101824
22	-40	36.5091	102401
23	-36	37.5557	101669
24	-32	38.5361	101529
25	-28	39.4931	102231
26	-24	40.2777	102576
27	-20	40.954	102485
28	-16	41.5065	102499
29	-12	41.9584	102663
30	-8	42.3181	103022
31	-4	42.5295	103107
32	0	42.6017	102981
33	4	42.5497	103131
34	8	42.3364	103089
35	12	42.0374	103094
36	16	41.5896	103056
37	20	41.0402	102804
38	24	40.3693	103013
39	28	39.5615	102551
40	32	38.6909	102999
41	36	37.6774	102765
42	40	36.5883	102420
43	44	35.4357	102295
44	48	34.1734	102393
45	52	32.8573	102372
46	56	31.398	101369
47	60	30.0111	102239
48	64	28.4695	102645
49	68	26.82	102039
50	72	25.1979	101984
51	76	23.5671	102296
52	80	21.9906	102216
53	84	20.3837	102278
54	88	18.6966	102417
55	92	17.0111	102765
56	96	15.3858	103554
57	100	13.6097	103077
58	104	12.0155	103810
59	108	9.8559	102544
60	112	8.53523	102746
61	116	5.69615	104165
62	120	4.95014	102823
64	128	0.668929	101912
